No,Date,Open,High,Low,Close
1,2012-12-03,599.861,601.463,584.556,584.881
2,2012-12-04,583.37,593.17,575.826,592.5
3,2012-12-05,591.495,619.319,590.008,615.992
4,2012-12-06,616.271,621.373,611.458,615.541
5,2012-12-07,615.377,630.632,613.229,630.084
6,2012-12-10,631.083,641.587,629.354,641.147
7,2012-12-11,639.528,641.001,634.891,634.997
8,2012-12-12,633.876,635.929,626.711,635.365
9,2012-12-13,633.971,636.748,626.026,627.043
10,2012-12-14,626.296,651.465,626.28,651.284
11,2012-12-17,651.801,653.825,643.408,648.882
12,2012-12-18,647.775,654.106,643.061,645.984
13,2012-12-19,645.217,653.941,644.496,651.657
14,2012-12-20,651.056,659.065,647.98,659.065
15,2012-12-21,659.241,673.042,656.894,669.771
16,2012-12-24,668.485,682.056,668.04,682.056
17,2012-12-25,681.304,698.549,680.155,696.278
18,2012-12-26,695.69,715.291,694.758,715.284
19,2012-12-27,716.187,718.777,699.983,699.983
20,2012-12-28,698.699,708.966,694.976,708.532
21,2012-12-31,708.824,711.942,703.834,711.942
22,2013-01-04,715.058,716.52,700.385,708.77
23,2013-01-07,708.521,723.143,707.133,723.136
24,2013-01-08,723.896,740.889,721.512,736.904
25,2013-01-09,734.869,743.018,728.486,735.533
26,2013-01-10,734.728,743.937,734.728,742.079
27,2013-01-11,743.003,749.72,733.125,734.774
28,2013-01-14,736.7,764.722,736.235,764.021
29,2013-01-15,766.377,782.773,766.377,780.13
30,2013-01-16,778.398,779.518,761.268,773.565
31,2013-01-17,773.295,775.67,765.782,766.961
32,2013-01-18,769.56,782.771,767.62,782.771
33,2013-01-21,783.775,788.392,779.812,788.391
34,2013-01-22,787.927,787.927,762.151,768.291
35,2013-01-23,765.884,770.624,756.9,770.545
36,2013-01-24,770.284,775.058,741.386,748.516
37,2013-01-25,748.288,757.104,747.858,752.536
38,2013-01-28,752.854,773.793,752.854,773.793
39,2013-01-29,774.71,784.099,774.71,781.597
40,2013-01-30,781.81,782.077,768.778,775.77
41,2013-01-31,773.944,774.04,761.787,767.001
42,2013-02-01,765.281,775.044,763.624,771.787
43,2013-02-04,773.078,775.039,757.519,760.224
44,2013-02-05,756.954,770.199,754.635,770.073
45,2013-02-06,770.269,780.916,770.269,777.992
46,2013-02-07,778.727,789.479,775.433,789.01
47,2013-02-08,788.595,806.85,788.595,805.114
48,2013-02-18,809.892,816.517,807.362,816.182
49,2013-02-19,815.615,816.207,799.128,802.092
50,2013-02-20,801.492,829.329,801.492,829.329
51,2013-02-21,825.807,831.402,810.407,818.824
52,2013-02-22,816.581,826.438,816.403,817.479
53,2013-02-25,817.112,833.618,817.104,832.176
54,2013-02-26,829.951,841.442,825.468,826.288
55,2013-02-27,827.082,831.14,813.558,821.187
56,2013-02-28,820.993,836.06,818.652,836.06
57,2013-03-01,835.86,858.879,835.192,858.626
58,2013-03-04,853.774,861.275,830.829,838.098
59,2013-03-05,836.413,862.119,833.682,862.029
60,2013-03-06,863.687,878.789,863.687,878.111
61,2013-03-07,876.827,877.801,846.217,854.918
62,2013-03-08,855.211,858.941,840.061,842.273
63,2013-03-11,841.044,848.706,836.747,844.908
64,2013-03-12,845.231,848.25,803.691,814.041
65,2013-03-13,810.661,810.661,797.29,808.613
66,2013-03-14,807.11,818.223,806.235,814.412
67,2013-03-15,814.396,836.346,810.781,823.565
68,2013-03-18,821.577,828.989,817.797,818.888
69,2013-03-19,817.845,821.678,799.704,813.643
70,2013-03-20,813.373,836.114,813.373,836.114
71,2013-03-21,836.653,853.339,836.029,850.047
72,2013-03-22,849.282,852.329,845.088,850.944
73,2013-03-25,851.27,852.82,843.225,848.994
74,2013-03-26,846.402,846.402,830.674,842.965
75,2013-03-27,842.784,851.732,840.63,847.853
76,2013-03-28,842.761,842.761,826.234,828.461
77,2013-03-29,828.844,833.466,822.917,826.648
78,2013-04-01,826.169,838.726,826.087,836.371
79,2013-04-02,835.51,842.495,808.4,809.929
80,2013-04-03,807.927,810.144,793.343,800.563
81,2013-04-08,790.629,814.885,782.899,814.885
82,2013-04-09,815.062,823.515,814.691,822.304
83,2013-04-10,821.697,822.898,806.007,813.321
84,2013-04-11,815.24,818.406,810.313,810.859
85,2013-04-12,810.192,815.769,806.447,807.192
86,2013-04-15,804.776,805.7,794.565,796.644
87,2013-04-16,790.277,805.529,786.459,805.529
88,2013-04-17,805.025,822.725,804.831,822.725
89,2013-04-18,818.525,830.215,816.538,828.251
90,2013-04-19,828.913,849.756,828.913,846.596
91,2013-04-22,844.689,865.175,843.538,865.174
92,2013-04-23,865.409,865.409,841.574,842.932
93,2013-04-24,843.092,871.698,843.092,871.164
94,2013-04-25,870.602,880.949,853.465,853.465
95,2013-04-26,851.914,854.164,834.77,836.877
96,2013-05-02,834.141,855.668,831.571,855.392
97,2013-05-03,857.82,879.862,857.82,879.252
98,2013-05-06,881.35,901.851,881.35,899.075
99,2013-05-07,897.958,904.426,892.277,898.593
100,2013-05-08,900.373,918.072,900.373,918.072
101,2013-05-09,918.022,929.443,914.892,928.818
102,2013-05-10,926.614,932.19,916.058,925.466
103,2013-05-13,926.828,934.235,919.324,934.21
104,2013-05-14,932.54,932.54,913.45,917.916
105,2013-05-15,918.345,948.019,918.345,948.019
106,2013-05-16,947.224,965.977,935.638,942.649
107,2013-05-17,939.615,961.951,937.888,958.223
108,2013-05-20,960.536,985.561,960.536,985.395
109,2013-05-21,984.666,1007.968,983.429,1007.774
110,2013-05-22,1003.449,1003.449,973.378,977.389
111,2013-05-23,972.79,997.354,970.803,979.737
112,2013-05-24,981.064,1008.296,981.064,1008.296
113,2013-05-27,1009.734,1022.703,1009.724,1022.071
114,2013-05-28,1021.19,1021.19,987.603,991.1
115,2013-05-29,988.854,999.658,987.048,998.781
116,2013-05-30,996.476,1010.864,994.178,1007.703
117,2013-05-31,1008.04,1019.243,1003.708,1007.507
118,2013-06-03,1005.434,1008.891,986.276,988.101
119,2013-06-04,986.198,986.271,952.056,962.868
120,2013-06-05,961.484,977.254,961.484,972.716
121,2013-06-06,968.214,969.935,958.534,959.798
122,2013-06-07,959.875,972.88,950.846,960.274
123,2013-06-13,949.112,952.615,915.921,952.032
124,2013-06-14,952.926,989.16,952.926,987.811
125,2013-06-17,992.145,1008.814,987.518,992.901
126,2013-06-18,991.661,996.178,972.734,992.67
127,2013-06-19,986.097,991.234,976.214,990.556
128,2013-06-20,984.319,990.592,952.602,953.594
129,2013-06-21,933.3,955.36,915.094,950.889
130,2013-06-24,948.909,948.909,891.71,901.343
131,2013-06-25,889.532,916.796,838.107,911.86
132,2013-06-26,911.434,959.21,909.597,959.21
133,2013-06-27,962.251,979.468,940.336,943.05
134,2013-06-28,933.491,955.289,921.774,929.804
135,2013-07-01,928.269,968.402,923.799,968.402
136,2013-07-02,969.163,994.215,969.136,992.137
137,2013-07-03,988.203,1011.249,974.229,1007.919
138,2013-07-04,1001.333,1012.028,991.764,995.034
139,2013-07-05,994.547,999.307,968.43,968.43
140,2013-07-08,948.976,960.886,925.649,935.935
141,2013-07-09,934.021,951.67,931.489,950.906
142,2013-07-10,950.165,970.291,950.046,970.291
143,2013-07-11,968.882,986.59,961.85,983.869
144,2013-07-12,982.779,1015.404,981.174,996.802
145,2013-07-15,998.389,1036.503,998.389,1036.503
146,2013-07-16,1038.686,1048.575,1029.303,1043.992
147,2013-07-17,1041.805,1052.116,1025.549,1033.59
148,2013-07-18,1029.784,1045.984,1024.432,1039.893
149,2013-07-19,1038.449,1062.888,1023.526,1023.527
150,2013-07-22,1017.213,1061.535,1013.752,1061.535
151,2013-07-23,1066.694,1087.411,1066.694,1087.411
152,2013-07-24,1087.53,1113.17,1084.304,1109.396
153,2013-07-25,1109.773,1111.467,1055.756,1056.933
154,2013-07-26,1054.733,1069.958,1038.821,1064.862
155,2013-07-29,1061.066,1073.381,1045.827,1046.779
156,2013-07-30,1046.021,1053.791,1005.631,1032.555
157,2013-07-31,1033.72,1050.313,1027.404,1041.331
158,2013-08-01,1042.715,1091.286,1042.715,1091.111
159,2013-08-02,1095.98,1111.635,1093.117,1094.229
160,2013-08-05,1093.858,1109.368,1091.959,1109.368
161,2013-08-06,1108.8,1121.739,1107.435,1117.317
162,2013-08-07,1114.115,1114.289,1081.668,1083.84
163,2013-08-08,1080.445,1102.996,1075.727,1093.682
164,2013-08-09,1094.745,1101.891,1065.632,1083.668
165,2013-08-12,1085.651,1094.752,1062.512,1078.26
166,2013-08-13,1077.685,1094.983,1070.577,1090.596
167,2013-08-14,1092.57,1103.078,1078.87,1097.528
168,2013-08-15,1095.5,1101.517,1085.626,1086.384
169,2013-08-16,1079.153,1097.409,1051.957,1052.819
170,2013-08-19,1047.731,1088.658,1046.983,1088.499
171,2013-08-20,1088.243,1100.227,1086.561,1096.922
172,2013-08-21,1095.115,1105.577,1091.491,1103.973
173,2013-08-22,1102.925,1122.753,1101.576,1117.186
174,2013-08-23,1119.382,1136.087,1101.754,1129.691
175,2013-08-26,1130.488,1148.159,1130.445,1147.13
176,2013-08-27,1146.625,1156.173,1134.402,1156.173
177,2013-08-28,1148.564,1155.081,1134.888,1135.068
178,2013-08-29,1132.885,1142.732,1126.615,1133.201
