id,2000-01-04,000001.SH,399005.SZ,399102.SZ
1520,2006-05-10,1545.687,1854.92,0
1521,2006-05-11,1537.377,1843.419,0
1522,2006-05-12,1602.832,1930.058,0
1523,2006-05-15,1664.088,2033.062,0
1524,2006-05-16,1613.251,1925.147,0

1525,2006-05-17,1625.146,1922.069,0
1526,2006-05-18,1617.281,1973.587,0
1527,2006-05-19,1659.545,2107.811,0
1528,2006-05-22,1657.689,2121.523,0
1529,2006-05-23,1604.552,1972.792,0
1530,2006-05-24,1590.924,1924.736,0
1531,2006-05-25,1591.425,1957.637,0
1532,2006-05-26,1613.894,2020.898,0
1533,2006-05-29,1648.538,2063.195,0
1534,2006-05-30,1657.288,2079.216,0
1535,2006-05-31,1641.3,2085.919,0
1536,2006-06-01,1684.195,2195.069,0
1537,2006-06-02,1669.399,2225.94,0
1538,2006-06-05,1684.624,2298.224,0
1539,2006-06-06,1679.126,2210.479,0
1540,2006-06-07,1589.545,2038.093,0
1541,2006-06-08,1591.49,2067.085,0
1542,2006-06-09,1551.384,2091.361,0
1543,2006-06-12,1552.798,2141.834,0
1544,2006-06-13,1548.495,2152.21,0
1545,2006-06-14,1531.327,2156.921,0
1546,2006-06-15,1533.98,2168.738,0
1547,2006-06-16,1574.467,2232.634,0
1548,2006-06-19,1586.286,2218.648,0
1549,2006-06-20,1592.332,2240.221,0
1550,2006-06-21,1598.116,2222.554,0
1551,2006-06-22,1596.066,2192.131,0
1552,2006-06-23,1605.711,2190.481,0
1553,2006-06-26,1633.449,2213.585,0
1554,2006-06-27,1639.551,2231.562,0
1555,2006-06-28,1639.286,2226.897,0
1556,2006-06-29,1671.618,2264.382,0
1557,2006-06-30,1672.211,2231.107,0
1558,2006-07-03,1697.282,2240.582,0
1559,2006-07-04,1681.547,2223.79,0
1560,2006-07-05,1718.555,2224.113,0
1561,2006-07-06,1741.47,2285.19,0
1562,2006-07-07,1730.19,2256.15,0
1563,2006-07-10,1734.329,2279.941,0
1564,2006-07-11,1745.806,2314.494,0
1565,2006-07-12,1740,2289.536,0
1566,2006-07-13,1655.773,2167.15,0
1567,2006-07-14,1665.208,2186.492,0
1568,2006-07-17,1682.887,2201.121,0
1569,2006-07-18,1684.252,2196.701,0
1570,2006-07-19,1645.16,2158.759,0
1571,2006-07-20,1655.122,2170.061,0
1572,2006-07-21,1665.328,2194.895,0
1573,2006-07-24,1665.944,2181.153,0
1574,2006-07-25,1685.461,2197.733,0
1575,2006-07-26,1686.654,2187.733,0
1576,2006-07-27,1675.168,2160.9,0
1577,2006-07-28,1662.031,2123.43,0
1578,2006-07-31,1612.733,2005.555,0
1579,2006-08-01,1600.614,1988.354,0
1580,2006-08-02,1600.872,1987.386,0
1581,2006-08-03,1601.058,1963.958,0
1582,2006-08-04,1570.15,1898.848,0
1583,2006-08-07,1547.436,1868.78,0
1584,2006-08-08,1580.577,1909.421,0
1585,2006-08-09,1578.566,1901.601,0
1586,2006-08-10,1606.065,1924.529,0
1587,2006-08-11,1605.926,1954.972,0
1588,2006-08-14,1570.738,1902.566,0
1589,2006-08-15,1595.657,1929.381,0
1590,2006-08-16,1616.41,1960.88,0
1591,2006-08-17,1603.332,1936.02,0
1592,2006-08-18,1598.018,1912.582,0
1593,2006-08-21,1601.15,1933.074,0
1594,2006-08-22,1613.355,1962.444,0
1595,2006-08-23,1612.396,1968.44,0
1596,2006-08-24,1623.017,2001.004,0
1597,2006-08-25,1623.034,2012.058,0
1598,2006-08-28,1650.438,2043.597,0
1599,2006-08-29,1651.024,2096.535,0
1600,2006-08-30,1655.195,2092.829,0
1601,2006-08-31,1658.638,2098.451,0
1602,2006-09-01,1636.691,2091.635,0
1603,2006-09-04,1657.52,2149.475,0
1604,2006-09-05,1664.078,2114.939,0
1605,2006-09-06,1672.121,2107.924,0
1606,2006-09-07,1661.19,2097.076,0
1607,2006-09-08,1667.984,2114.579,0
1608,2006-09-11,1674.966,2115.669,0
1609,2006-09-12,1695.862,2117.522,0
1610,2006-09-13,1689.389,2097.355,0
1611,2006-09-14,1689.692,2076.386,0
1612,2006-09-15,1721.045,2092.197,0
1613,2006-09-18,1732.987,2114.746,0
1614,2006-09-19,1735.241,2130.626,0
1615,2006-09-20,1732.453,2139.227,0
1616,2006-09-21,1740.901,2166.858,0
1617,2006-09-22,1725.361,2180.923,0
1618,2006-09-25,1722.366,2193.251,0
1619,2006-09-26,1712.637,2155.326,0
1620,2006-09-27,1725.039,2156.464,0
1621,2006-09-28,1736.963,2182.541,0
1622,2006-09-29,1752.424,2202.39,0
1623,2006-10-09,1785.385,2240.167,0
1624,2006-10-10,1784.862,2239.859,0
1625,2006-10-11,1790.104,2261.734,0
1626,2006-10-12,1778.181,2215.937,0
1627,2006-10-13,1784.656,2209.761,0
1628,2006-10-16,1771.299,2187.213,0
1629,2006-10-17,1763.901,2178.349,0
1630,2006-10-18,1787.185,2197.142,0
1631,2006-10-19,1792.253,2215.996,0
1632,2006-10-20,1790.364,2193.962,0
1633,2006-10-23,1759.394,2130.102,0
1634,2006-10-24,1805.181,2171.965,0
1635,2006-10-25,1806.646,2181.874,0
1636,2006-10-26,1810.646,2164.937,0
1637,2006-10-27,1807.175,2144.479,0
1638,2006-10-30,1809.656,2120.627,0
1639,2006-10-31,1837.993,2133.163,0
1640,2006-11-01,1855.713,2126.88,0
1641,2006-11-02,1851.314,2098.691,0
1642,2006-11-03,1866.362,2106.974,0
1643,2006-11-06,1886.307,2083.433,0
1644,2006-11-07,1889.53,2093.978,0
1645,2006-11-08,1866.817,2106.267,0
1646,2006-11-09,1896.482,2129.86,0
1647,2006-11-10,1883.347,2079.745,0
1648,2006-11-13,1863.765,2019.813,0
1649,2006-11-14,1888.239,2040.609,0
1650,2006-11-15,1922.935,2094.499,0
1651,2006-11-16,1941.547,2100.154,0
1652,2006-11-17,1971.793,2109.33,0
1653,2006-11-20,2017.279,2086.647,0
1654,2006-11-21,2037.552,2106.355,0
1655,2006-11-22,2041.355,2152.624,0
1656,2006-11-23,2062.363,2157.031,0
1657,2006-11-24,2050.812,2167.865,0
1658,2006-11-27,2047.277,2199.972,0
1659,2006-11-28,2038.721,2229.413,0
1660,2006-11-29,2054.091,2254.498,0
1661,2006-11-30,2099.289,2281.281,0
1662,2006-12-01,2102.049,2290.007,0
1663,2006-12-04,2161.648,2328.804,0
1664,2006-12-05,2173.285,2308.818,0
1665,2006-12-06,2156.604,2289.401,0
1666,2006-12-07,2156.75,2261.029,0
1667,2006-12-08,2093.638,2217.193,0
1668,2006-12-11,2180.496,2257.511,0
1669,2006-12-12,2218.951,2279.532,0
1670,2006-12-13,2223.455,2330.719,0
1671,2006-12-14,2249.11,2364.975,0
1672,2006-12-15,2273.908,2386.345,0
1673,2006-12-18,2332.434,2431.99,0
1674,2006-12-19,2364.177,2443.868,0
1675,2006-12-20,2373.205,2513.296,0
1676,2006-12-21,2342.938,2471.804,0
1677,2006-12-22,2343.668,2446.787,0
1678,2006-12-25,2435.762,2476.784,0
1679,2006-12-26,2479.732,2449.743,0
1680,2006-12-27,2536.387,2450.956,0
1681,2006-12-28,2567.594,2416.356,0
1682,2006-12-29,2675.474,2467.696,0
1683,2007-01-04,2715.719,2449.773,0
1684,2007-01-05,2641.334,2530.35,0
1685,2007-01-08,2707.199,2587.856,0
1686,2007-01-09,2807.804,2615.612,0
1687,2007-01-10,2825.576,2661.632,0
1688,2007-01-11,2770.11,2679.714,0
1689,2007-01-12,2668.11,2613.105,0
1690,2007-01-15,2794.701,2756.576,0
1691,2007-01-16,2821.017,2879.576,0
1692,2007-01-17,2778.9,2868.18,0
1693,2007-01-18,2756.983,2982.411,0
1694,2007-01-19,2832.207,3127.376,0
1695,2007-01-22,2933.19,3298.205,0
1696,2007-01-23,2949.144,3229.451,0
1697,2007-01-24,2975.129,3258.06,0
1698,2007-01-25,2857.365,3125.912,0
1699,2007-01-26,2882.558,3134.628,0
1700,2007-01-29,2945.263,3183.048,0
1701,2007-01-30,2930.562,3230.918,0
1702,2007-01-31,2786.335,3079.814,0
1703,2007-02-01,2785.432,3131.188,0
1704,2007-02-02,2673.212,3087.206,0
1705,2007-02-05,2612.537,3074.816,0
1706,2007-02-06,2675.697,3079.292,0
1707,2007-02-07,2716.175,3096.156,0
1708,2007-02-08,2737.732,3117.764,0
1709,2007-02-09,2730.386,3124.278,0
1710,2007-02-12,2807.174,3219.97,0
