No,Date,Open,High,Low,Close
1,1999-07-01,1678.838,1678.838,1540.034,1560.787
2,1999-07-02,1570.564,1620.544,1532.444,1613.533
3,1999-07-05,1627.246,1630.382,1573.734,1581.819
4,1999-07-06,1568.83,1580.232,1504.366,1517.253
5,1999-07-07,1515.161,1568.673,1507.546,1568.652
6,1999-07-08,1579.143,1591.131,1560.431,1577.987
7,1999-07-09,1577.791,1594.578,1563.163,1584.75
8,1999-07-12,1588.38,1589.902,1545.563,1559.732
9,1999-07-13,1547.344,1547.344,1511.431,1524.821
10,1999-07-14,1526.977,1559.663,1526.22,1559.52
11,1999-07-15,1565.04,1567.829,1545.07,1549.336
12,1999-07-16,1547.46,1547.606,1512.784,1519.741
13,1999-07-19,1500.449,1509.994,1473.234,1479.076
14,1999-07-20,1476.027,1574.749,1471.509,1574.603
15,1999-07-21,1586.885,1626.952,1573.7,1609.811
16,1999-07-22,1606.856,1606.856,1548.495,1550.73
17,1999-07-23,1552.245,1597.184,1552.237,1585.98
18,1999-07-26,1592.414,1607.072,1587.377,1602.031
19,1999-07-27,1605.372,1607.047,1580.817,1590.713
20,1999-07-28,1592.452,1609.794,1584.246,1597.199
21,1999-07-29,1610.116,1615.749,1585.839,1595.86
22,1999-07-30,1599.938,1605.273,1587.338,1601.459
23,1999-08-02,1607.062,1622.383,1603.369,1616.276
24,1999-08-03,1622.301,1626.91,1609.124,1626.841
25,1999-08-04,1630.99,1649.258,1630.99,1649.128
26,1999-08-05,1654.526,1658.69,1641.862,1653.537
27,1999-08-06,1655.306,1656.585,1601.843,1646.593
28,1999-08-09,1650.277,1651.635,1624.721,1628.836
29,1999-08-10,1622.967,1623.026,1597.22,1602.147
30,1999-08-11,1598.015,1607.677,1574.714,1583.401
31,1999-08-12,1583.512,1594.889,1566.714,1575.642
32,1999-08-13,1581.23,1591.493,1569.302,1571.901
33,1999-08-16,1568.899,1570.211,1546.837,1560.068
34,1999-08-17,1562.56,1596.151,1562.56,1576.405
35,1999-08-18,1578.263,1582.016,1555.976,1581.929
36,1999-08-19,1587.898,1645.842,1587.87,1637.743
37,1999-08-20,1645.543,1651.174,1627.039,1628.934
38,1999-08-23,1631.435,1645.004,1626.954,1644.999
39,1999-08-24,1650.537,1655.142,1638.963,1648.469
40,1999-08-25,1649.609,1651.092,1618.54,1625.765
41,1999-08-26,1622.166,1638.233,1615.855,1638.233
42,1999-08-27,1642.061,1644.471,1627.255,1633.9
43,1999-08-30,1635.553,1637.31,1614.448,1619.039
44,1999-08-31,1622.877,1630.014,1609.796,1627.116
45,1999-09-01,1627.821,1629.076,1595.963,1599.552
46,1999-09-02,1591.583,1614.106,1572.417,1611.958
47,1999-09-03,1613.304,1614.412,1583.45,1587.887
48,1999-09-06,1577.505,1577.562,1556.834,1560.678
49,1999-09-07,1558.861,1574.648,1556.741,1562.794
50,1999-09-08,1563.621,1581.932,1563.605,1571.598
51,1999-09-09,1590.711,1675.261,1590.701,1675.122
52,1999-09-10,1690.025,1695.644,1656.723,1659.929
53,1999-09-13,1664.514,1671.64,1656.168,1670.143
54,1999-09-14,1675.706,1681.847,1668.128,1672.892
55,1999-09-15,1675.191,1679.135,1657.786,1662.803
56,1999-09-16,1662.463,1664.961,1643.98,1645.511
57,1999-09-17,1644.803,1662.165,1636.477,1648.558
58,1999-09-20,1649.121,1651.535,1628.894,1633.835
59,1999-09-21,1630.021,1630.269,1617.812,1625.588
60,1999-09-22,1625.165,1632.411,1613.582,1617.057
61,1999-09-23,1618.768,1622.667,1597.115,1604.203
62,1999-09-24,1609.827,1631.399,1609.827,1619.326
63,1999-09-27,1624.459,1629.191,1598.705,1602.158
64,1999-09-28,1602.794,1606.023,1586.549,1591.432
65,1999-09-29,1593.719,1608.603,1580.999,1584.954
66,1999-09-30,1588.986,1595.006,1567.724,1570.702
67,1999-10-08,1568.238,1568.375,1531.799,1534.515
68,1999-10-11,1529.22,1538.343,1516.622,1522.48
69,1999-10-12,1526.449,1538.279,1526.449,1537.796
70,1999-10-13,1540.599,1544.449,1504.388,1507.422
71,1999-10-14,1504.497,1535.244,1494.94,1508.726
72,1999-10-15,1515.908,1550.709,1515.908,1543.798
73,1999-10-18,1547.267,1549.368,1499.464,1501.665
